Documento,Razão Social,CEP,Produto,Número do pedido,Data
202.972.710-59,Cliente1,13634503,Televisão,1,06/06/2022
517.390.080-65,Cliente2,59010020,Notebook,2,01/12/2022
032.320.150-42,Cliente3,07042090,Celular,3,01/10/2022
099.836.020-16,Cliente4,20020050,Celular,4,31/01/2023
764.207.350-09,Cliente5,27949316,Notebook,5,01/02/2023
627.293.490-49,Cliente6,96050500,Televisão,6,15/02/2023
070.887.310-37,Cliente7,48918900,Celular,7,01/02/2023
87065113094,Cliente8,68909-708,Notebook,7,02/03/2023
703.689.740-65,Cliente9,49065-056,Notebook,7,03/09/2023
079.490.500-55,Cliente10,63902815,Notebook,7,04/02/2023
277.163.250-00,Cliente11,64055-585,Celular,7,05/04/2023
993.302.000-52,Cliente12,60510-350,Televisão,7,06/06/2023
222.320.130-06,Cliente13,49065-056,Celular,7,07/02/2023
055.671.090-83,Cliente14,89233-576,Notebook,7,08/06/2023
055.671.090-83,Cliente15,69098-043,Celular,7,09/02/2023
